composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li2 Ti1 In1 P3 O12,0.00122,-2.913640169,,,200,10.1016/S0167-2738(96)00565-6
Li2 Zr1 Al1 P3 O12,3.40E-06,-5.468521083,,,300,10.1007/s10008-008-0520-8
Li2 Zr1 Cr1 P3 O12,5.91E-07,-6.228412519,,,25,10.1016/S0167-2738(96)00565-6
Li2 Zr1 Fe1 P3 O12,1.44E-07,-6.841637508,,,25,10.1016/S0167-2738(96)00565-6
Li2 Zr1 In1 P3 O12,8.22E-08,-7.085128182,,,25,10.1016/S0167-2738(96)00565-6
Li2.3 Hf0.7 Cr1.3 P3 O12,0.000181,-3.742321425,,,300,10.1006/jssc.2000.8658
Li2.5 Hf0.5 Cr1.5 P3 O12,0.000355,-3.449771647,,,300,10.1016/S0167-2738(98)00207-0
Li2.7 Hf0.3 Cr1.7 P3 O12,2.25E-05,-4.647817482,,,171,10.1016/S0167-2738(98)00207-0
Li2.8 Ti0.2 In1.8 P3 O12,0.00824,-2.084072788,,,300,10.1016/0167-2738(86)90183-9
Li2.9 Zr0.1 Sc1.9 P3 O12,0.00106,-2.974694135,,,150,10.1016/S0925-8388(96)02746-6
Li2.9 Zr0.1 Sc1.9 P3 O12,0.0144,-1.841637508,,,273,10.1016/S0925-8388(96)02746-6
Li3 Cr2 P3 O12,2.50E-08,-7.602059991,,,50,10.1016/0167-2738(83)90101-7
Li3 Fe2 P3 O12,5.60E-08,-7.251811973,,,50,10.1016/0167-2738(83)90101-7
Li3 Sc1.6 Al0.4 P3 O12,1.28E-05,-4.89279003,,,25,10.1016/0167-2738(93)90015-U
Li3 Tb3 Te2 O12,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li0.83 Mg0.83 In0.17 P1 O4,1.41E-09,-8.850780887,,,25,10.1021/cm504518q
Li0.83 Mg0.83 In0.17 P1 O4,7.94E-08,-7.100179498,,,90,10.1021/cm504518q
Li0.85 Mg0.85 In0.15 P1 O4,1.26E-09,-8.899629455,,,25,10.1021/cm504518q
Li0.85 Mg0.85 In0.15 P1 O4,7.08E-08,-7.149966742,,,90,10.1021/cm504518q
Li0.9 Mg0.9 In0.1 P1 O4,5.01E-10,-9.300162274,,,25,10.1021/cm504518q
Li0.9 Mg0.9 In0.1 P1 O4,2.51E-08,-7.600326279,,,90,10.1021/cm504518q
Li0.95 Mg0.95 In0.05 P1 O4,1.12E-10,-9.950781977,,,25,10.1021/cm504518q
Li0.95 Mg0.95 In0.05 P1 O4,1.12E-08,-7.950781977,,,90,10.1021/cm504518q
Li1 Fe1 P1 O4,1.10E-09,-8.958607315,,,30,10.1016/j.ssi.2008.06.028
Li1 Mg1 P1 O4,6.31E-12,-11.19997064,,,25,10.1021/cm504518q
Li1 Mg1 P1 O4,4.68E-10,-9.329754147,,,90,10.1021/cm504518q
Ba2 Li1 Ti2 Nb1 O9,1.00E-07,-7,,,30,10.1021/cm9810382
Ba2 Li1 Ti2 Nb1 O9,1.00E-06,-6,,,102,10.1021/cm9810382
Li0.022 La0.115 Ti0.165 Al0.055 O0.618,0.00446,-2.350665141,,,97.37,10.1007/BF02378009
Li0.022 La0.115 Ti0.165 Al0.055 O0.618,0.000525,-3.279840697,,,30,10.1007/BF02378009
Li0.022 La0.117 Ti0.208 Al0.001 O0.626,0.0163,-1.787812396,,,112,10.1007/BF02378009
Li0.022 La0.117 Ti0.208 Al0.001 O0.626,0.00574,-2.241088108,,,72,10.1007/BF02378009
Li0.022 La0.117 Ti0.208 Al0.001 O0.626,0.00126,-2.899629455,,,30,10.1007/BF02378009
Li0.022 La0.118 Ti0.2 Al0.004 O0.631,0.00562,-2.250263684,,,97.37,10.1007/BF02378009
Li0.022 La0.118 Ti0.2 Al0.004 O0.631,0.000891,-3.050122296,,,30,10.1007/BF02378009
Li0.06 La0.66 Ti0.93 Al0.06 O3,1.68E-06,-5.774690718,,,27,10.1021/cm011149s
Li0.067 La0.64 Ti1 O2.99,7.90E-05,-4.102372909,,,27,10.1016/0167-2738(94)90309-3
Li0.1 La0.63 Ti1 O3,7.90E-05,-4.102372909,,,27,10.1016/0167-2738(94)90309-3
Li0.1 La0.66 Ti0.9 Al0.1 O3,7.34E-06,-5.13430394,,,27,10.1021/cm011149s
Li0.12 La0.63 Ti1 O3,0.0002,-3.698970004,,,25,https://doi.org/10.1039/D2EE03499A
Li0.12 La0.75 Ti1 O3,0.000238,-3.623423043,,,25,https://doi.org/10.1039/D2EE03499A
Li0.15 La0.61 Ti1 O3,0.000206,-3.68613278,,,25,https://doi.org/10.1039/D2EE03499A
Li0.15 La0.66 Ti0.85 Al0.15 O3,9.66E-06,-5.015022874,,,25,10.1021/cm011149s
Li0.15 La0.72 Ti1 O3,0.000414,-3.382999659,,,25,https://doi.org/10.1039/D2EE03499A
Li0.16 La0.7 Ti1 O3,0.000521,-3.283162277,,,25,https://doi.org/10.1039/D2EE03499A
Li0.2 La0.66 Ti0.8 Al0.2 O3,4.28E-05,-4.368556231,,,25,10.1021/cm011149s
Li0.228 La0.59 Ti1 O3,0.000106,-3.974694135,,,214,10.1007/s10717-007-0032-5
Li0.23 La0.7 Ti1 O3,0.000526,-3.279014256,,,25,https://doi.org/10.1039/D2EE03499A
Li0.24 La0.58 Ti1 O3,0.000722,-3.141462802,,,25,https://doi.org/10.1039/D2EE03499A
Li0.24 La0.59 Ti1 O3,0.000227,-3.643974143,,,89,10.1007/s10717-007-0032-5
Li0.24 La0.59 Ti1 O3,0.000252,-3.598599459,,,124,10.1007/s10717-007-0032-5
Li0.24 La0.59 Ti1 O3,0.000226,-3.645891561,,,55,10.1007/s10717-007-0032-5
Li0.24 La0.59 Ti1 O3,0.000166,-3.779891912,,,23,10.1007/s10717-007-0032-5
Li0.24 La0.59 Ti1 O3,7.60E-05,-4.119186408,,,29,10.1016/j.ssi.2009.08.002
Li0.245 La0.592 Ti0.98 Mn0.02 O3,0.001,-3,,,25,10.1006/jssc.1998.7904
Li0.25 La0.25 Ta1 O3,0.000366,-3.436518915,,,25,10.1016/S0167-2738(98)00414-7
Li0.25 La0.66 Ti0.75 Al0.25 O3,7.66E-05,-4.11577123,,,25,10.1021/cm011149s
Li0.25 Nd0.25 Ta1 O3,1.91E-06,-5.718966633,,,25,10.1016/S0167-2738(98)00414-7
Li0.25 Sm0.25 Ta1 O3,7.30E-06,-5.13667714,,,125,10.1016/S0167-2738(98)00414-7
Li0.25 Y0.25 Ta1 O3,4.39E-09,-8.35753548,,,147,10.1016/S0167-2738(98)00414-7
Li0.27 La0.59 Ti1 O3,0.00058,-3.236572006,,,25,10.2109/jcersj.105.548
Li0.27 La0.59 Ti1 O3,0.0141,-1.850780887,,,127,10.2109/jcersj.105.548
Li0.29 La0.57 Ti1 O3,0.0016,-2.795880017,,,26.85,10.1016/j.jpowsour.2012.11.098
Li0.3 La0.57 Ti1 O3,0.0011,-2.958607315,,,25,https://doi.org/10.1039/D2EE03499A
Li0.3 La0.66 Ti0.7 Al0.3 O3,1.72E-05,-4.764471553,,,25,10.1021/cm011149s
Li0.31 La0.63 Ti1 O3,0.000411,-3.386158178,,,25,https://doi.org/10.1039/D2EE03499A
Li0.33 La0.58 Ti1 O3,0.000893,-3.049148541,,,25,https://doi.org/10.1039/D2EE03499A
Li0.34 La0.51 Ti1 O2.94,0.00102,-2.991399828,,,27,10.1016/0038-1098(93)90841-A
Li0.34 La0.56 Ti1 O3,0.00153,-2.815308569,,,25,10.1016/S0167-2738(98)00070-8
Li0.34 La0.56 Ti1 O3,0.000688,-3.162411562,,,25,10.1016/S0167-2738(98)00070-8
Li0.34 Pr0.56 Ti1 O3,1.00E-06,-6,,,25,10.1016/0167-2738(94)90310-7
Li0.36 La0.51 Ti0.95 W0.05 O3,0.00073,-3.13667714,,,25,10.1007/BF02375549
Li0.36 La0.55 Ti0.95 Ge0.05 O3,0.00036,-3.443697499,,,25,10.1007/BF02375549
Li0.36 La0.55 Ti0.992 Al0.008 O3,0.00585,-2.232844134,,,100,10.1007/BF02375549
Li0.36 La0.55 Ti0.992 Al0.008 O3,0.00208,-2.681936665,,,60,10.1007/BF02375549
Li0.36 La0.55 Ti0.992 Al0.008 O3,0.000654,-3.184422252,,,25,10.1007/BF02375549
Li0.36 La0.56 Ti0.95 Al0.05 O3,0.0063,-2.200659451,,,119,10.1007/BF02375549
Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00398,-2.400116928,,,100,10.1007/BF02375549
Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00211,-2.675717545,,,70,10.1007/BF02375549
Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00354,-2.450996738,,,79.36,10.1007/BF02375549
Li0.36 La0.56 Ti0.95 Al0.05 O3,0.00064,-3.193820026,,,25,10.1007/BF02375549
Li0.361 La0.55 Ti0.995 Al0.005 O3,0.01,-2,,,100,10.1007/BF02375549
Li0.361 La0.55 Ti0.995 Al0.005 O3,0.00396,-2.402304814,,,65,10.1007/BF02375549
Li0.361 La0.55 Ti0.995 Al0.005 O3,0.0011,-2.958607315,,,35,10.1007/BF02375549
Li0.42 La0.52 Ti1 O3,0.000847,-3.07211659,,,25,https://doi.org/10.1039/D2EE03499A
Li0.49 La0.55 Ti1 O3,0.000939,-3.027334408,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.4 Nd0.1 Ti1 O3,0.001,-3,,,25,10.1016/S0167-2738(97)00015-5
Li0.5 La0.5 Ti0.9 Sn0.1 O3,0.00026,-3.585026652,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.96 Sn0.04 O3,0.000389,-3.410050399,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.98 Sn0.02 O3,0.000486,-3.313363731,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.99 Ge0.01 O3,0.00113,-2.946921557,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.99 Mn0.01 O3,0.00113,-2.946921557,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.992 Mn0.008 O3,0.00113,-2.946921557,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.994 Ge0.006 O3,0.00108,-2.966576245,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.994 Mn0.006 O3,0.00108,-2.966576245,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.996 Ge0.004 O3,0.000964,-3.015922966,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.996 Mn0.004 O3,0.000964,-3.015922966,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.998 Ge0.002 O3,0.000912,-3.040005162,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti0.998 Mn0.002 O3,0.000912,-3.040005162,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Zr0.02 Ti0.98 O3,0.000416,-3.380906669,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Zr0.04 Ti0.96 O3,0.000286,-3.543633967,,,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Zr0.06 Ti0.94 O3,0.000223,-3.651695137,,,25,https://doi.org/10.1039/D2EE03499A
Li0.68 La0.49 Ti1 O3,0.00103,-2.987162775,,,25,https://doi.org/10.1039/D2EE03499A
Li1 Ca1 Ti1 Nb1 O6,1.00E-07,-7,,,208,10.1021/cm9810382
Li1 Ca1 Ti1 Nb1 O6,1.03E-07,-6.987162775,,,205,10.1021/cm9810382
Li1 Ca1 Ti1 Nb1 O6,6.07E-07,-6.216811309,,,25,10.1021/cm9810382
Li1 Ca1.65 Ta1.7 Ti1.3 O9,1.00E-05,-5,,,300,10.1007/BF02708781
Li1 Ca1.65 Ti1.3 Nb1.7 O9,8.56E-07,-6.067526235,,,215,10.1007/BF02708781
Li1 Ca2 Ti2 Nb1 O9,1.89E-07,-6.723538196,,,300,10.1021/cm9810382
Li1 La1 Ti2 O6,0.001,-3,,,25,10.1016/S0167-2738(00)00761-X
Na0.1 Li0.1 La0.6 Ti1 O3,0.00416,-2.380906669,,,223,10.1016/j.ssi.2008.03.015
Na0.1 Li0.1 La0.6 Ti1 O3,0.00276,-2.559090918,,,184,10.1016/j.ssi.2008.03.015
Na0.1 Li0.1 La0.6 Ti1 O3,0.00117,-2.931814138,,,135,10.1016/j.ssi.2008.03.015
Na0.1 Li0.1 La0.6 Ti1 O3,0.000278,-3.555955204,,,75,10.1016/j.ssi.2008.03.015
Na0.1 Li0.1 La0.6 Ti1 O3,6.15E-05,-4.211124884,,,34,10.1016/j.ssi.2008.03.015
Na0.125 Li0.375 La0.5 Ti1 O3,2.00E-05,-4.698970004,,,402,10.1016/0167-2738(94)90309-3
Na0.125 Li0.375 La0.5 Ti1 O3,0.000158,-3.801342913,,,27,10.1016/0167-2738(94)90309-3
Sr0.05 Li0.475 La0.475 Ti1 O3,0.00149,-2.826813732,,,25,https://doi.org/10.1039/D2EE03499A
Sr0.1 Li0.45 La0.45 Ti1 O3,0.0013,-2.886056648,,,25,https://doi.org/10.1039/D2EE03499A
Sr0.25 Li0.375 La0.375 Ti1 O3,8.99E-05,-4.046240308,,,25,https://doi.org/10.1039/D2EE03499A
Sr0.5 Li0.5 Ta0.75 Cr0.25 O3,6.31E-05,-4.199970641,,,25,10.1016/S0378-7753(97)02645-1
Sr0.5 Li0.5 Ta0.75 Cr0.25 O3,0.000355,-3.449771647,,,75,10.1016/S0378-7753(97)02645-1
Sr0.5 Li0.5 Ta0.75 Fe0.25 O3,0.000126,-3.899629455,,,25,10.1016/S0378-7753(97)02645-1
Sr0.5 Li0.5 Ta0.75 Fe0.25 O3,0.000661,-3.179798541,,,75,10.1016/S0378-7753(97)02645-1
Sr0.6 Li0.3 Ta0.5 Ti0.2 Fe0.3 O3,1.00E-07,-7,,,25,10.1149/1.1629102
Sr0.6 Li0.3 Ta0.5 Ti0.35 Fe0.15 O3,2.80E-05,-4.552841969,,,25,10.1149/1.1629102
Sr0.6 Li0.3 Ta0.5 Ti0.4 Fe0.1 O3,3.60E-05,-4.443697499,,,25,10.1149/1.1629102
Sr0.6 Li0.3 Ta0.5 Ti0.45 Fe0.05 O3,6.00E-05,-4.22184875,,,30,10.1149/1.1629102
Sr0.6 Li0.3 Ta0.5 Ti0.5 O3,0.00017,-3.769551079,,,30,10.1149/1.1629102
Sr0.6 Li0.3 Ti0.5 Nb0.5 O3,5.40E-06,-5.26760624,,,30,10.1149/1.1629102
Sr0.8 Li0.1 Ti0.7 Nb0.3 O3,1.00E-08,-8,,,25,10.1149/1.1629102
Sr1 Li1 Ta1 Ti1 O6,0.00055,-3.259637311,,,25,10.1021/cm9810382
Sr1 Li1 Ta1 Ti1 O6,0.063,-1.200659451,,,360,10.1021/cm9810382
Sr1 Li1 Ti1 Nb1 O6,1.00E-06,-6,,,25,10.1021/cm9810382
Sr1.65 Li1 Ta1.7 Ti1.3 O9,4.90E-05,-4.30980392,,,25,10.1021/cm9810382
Sr1.65 Li1 Ta1.7 Ti1.3 O9,0.114,-0.943095149,,,360,10.1021/cm9810382
Sr1.65 Li1 Ti1.3 Nb1.7 O9,2.00E-05,-4.698970004,,,25,10.1021/cm9810382
Sr1.65 Li1 Ti1.3 Nb1.7 O9,0.042,-1.37675071,,,360,10.1021/cm9810382
Sr1.65 Li1 Ti2.15 W0.85 O9,0.00016,-3.795880017,,,300,10.1007/BF02708781
Sr1.65 Li1 Zr1.3 Ta1.7 O9,1.30E-05,-4.886056648,,,25,10.1021/cm9810382
Sr1.65 Li1 Zr1.3 Ta1.7 O9,0.042,-1.37675071,,,360,10.1021/cm9810382
Sr2 Li1 Ta1 Ti2 O9,3.20E-05,-4.494850022,,,30,10.1021/cm9810382
Sr2 Li1 Ta1 Ti2 O9,0.0032,-2.494850022,,,360,10.1021/cm9810382
Sr2 Li1 Ti2 Nb1 O9,1.00E-06,-6,,,25,10.1021/cm9810382
Sr2 Li1 Ti2 Nb1 O9,3.35E-05,-4.474955193,,,205,10.1021/cm9810382
Sr2 Li1 Ti2 Nb1 O9,3.47E-06,-5.459670525,,,100,10.1021/cm9810382
Li0.68 Ga0.68 Si2.33 O6,8.19E-07,-6.086716098,,,276,10.1016/0167-2738(87)90048-8
Li0.68 Ga0.68 Si2.33 O6,7.26E-08,-7.139063379,,,216.18,10.1016/0167-2738(87)90048-8
Li0.68 Ga0.68 Si2.33 O6,3.15E-11,-10.50168945,,,25,10.1016/0167-2738(87)90048-8
Li0.96 Ga0.96 Si2.04 O6,6.32E-07,-6.199282922,,,260,10.1016/0167-2738(87)90048-8
Li0.96 Ga0.96 Si2.04 O6,7.26E-08,-7.139063379,,,208.82,10.1016/0167-2738(87)90048-8
Li0.96 Ga0.96 Si2.04 O6,1.78E-08,-7.749579998,,,178.14,10.1016/0167-2738(87)90048-8
Li0.96 Ga0.96 Si2.04 O6,2.35E-11,-10.62893214,,,25,10.1016/0167-2738(87)90048-8
Li0.3 Y0.9 P1 O4,0.135,-0.869666232,,,873,10.1016/0167-2738(89)90457-8
Li0.3 Y0.9 P1 O4,0.000121,-3.91721463,,,400,10.1016/0167-2738(89)90457-8
Li0.3 Y0.9 P1 O4,4.64E-07,-6.333482019,,,25,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,0.037,-1.431798276,,,600,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,0.00054,-3.26760624,,,400,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,0.275,-0.560667306,,,867,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,0.0374,-1.427128398,,,585,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,0.00537,-2.270025714,,,486,10.1016/0167-2738(89)90457-8
Li0.6 Y0.8 P1 O4,1.41E-05,-4.850780887,,,25,10.1016/0167-2738(89)90457-8
Li0.9 Y0.7 P1 O4,0.0682,-1.166215625,,,791,10.1016/0167-2738(89)90457-8
Li0.9 Y0.7 P1 O4,0.00387,-2.412289035,,,598.96,10.1016/0167-2738(89)90457-8
Li0.9 Y0.7 P1 O4,0.000213,-3.671620397,,,485.26,10.1016/0167-2738(89)90457-8
Li0.9 Y0.7 P1 O4,1.09E-05,-4.962573502,,,397.77,10.1016/0167-2738(89)90457-8
Li0.9 Y0.7 P1 O4,6.57E-09,-8.18243463,,,25,10.1016/0167-2738(89)90457-8
Li1.5 Y0.5 P1 O4,0.000245,-3.610833916,,,523.93,10.1016/0167-2738(89)90457-8
Li1.5 Y0.5 P1 O4,1.78E-05,-4.749579998,,,437.38,10.1016/0167-2738(89)90457-8
Li1.5 Y0.5 P1 O4,6.68E-11,-10.17522354,,,25,10.1016/0167-2738(89)90457-8
Li0.06 La0.313 Nb1 O3,2.33E-05,-4.632644079,,,25,10.1016/S0167-2738(98)00266-5
Li0.09 La0.303 Nb1 O3,3.52E-05,-4.453457337,,,25,10.1016/S0167-2738(98)00266-5
Li4 Al0.33 Si0.33 P0.33 O4,4.75E-06,-5.32330639,,,50.64,10.1021/acsami.6b14402
Li1.9 Mg0.1 Ti1 O3.05,0.00107,-2.970616222,,,600,10.1016/j.ssi.2008.03.001
Li1.9 Mg0.1 Ti1 O3.05,1.20E-05,-4.920818754,,,300,10.1016/j.ssi.2008.03.001
Li1.9 Mg0.1 Ti1 O3.05,1.96E-07,-6.707743929,,,25,10.1016/j.ssi.2008.03.001
Li2 Mg1 Zr1 O4,1.00E-08,-8,,,140,10.1063/1.4710021
Li2 Ta0.25 Ti0.75 O3.125,9.00E-05,-4.045757491,,,300,10.1016/j.fusengdes.2010.04.003
Li0.09 La0.77 Ti1 O3,0.000123,-3.910094889,,,25,https://doi.org/10.1039/D2EE03499A
Li0.12 La0.29 Nb1 O3,4.25E-05,-4.37161107,,,25,10.1016/S0167-2738(98)00266-5
Li0.15 La0.283 Nb1 O3,3.85E-05,-4.41453927,,,25,10.1016/S0167-2738(98)00266-5
Li0.18 La0.273 Nb1 O3,3.82E-05,-4.417936637,,,25,10.1016/S0167-2738(98)00266-5
Li1 Dy1 Si1 O4,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li1 Nd1 Si1 O4,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li1.025 Y0.025 Zr1.975 P3 O12,0.000128,-3.89279003,,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Zr1.8 Al0.1 P3 O12,6.35E-07,-6.197226275,,,25,https://doi.org/10.1039/D2EE03499A
Li1.15 Ti2 B0.15 P3 O12.45,0.00048,-3.318758763,,,25,https://doi.org/10.1039/D2EE03499A
Li1.15 Ti2 P3.15 O12.6,0.0006,-3.22184875,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti2 P3 N0.4 O13.2,0.00118,-2.928117993,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti2 P3 S0.2 O12.8,0.000835,-3.078313525,,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ti2 P3.2 O12.7,0.00016,-3.795880017,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Hf2 P3 O12.3,2.58E-05,-4.588380294,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Ti2 B0.6 P3 O13.8,0.00112,-2.950781977,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Ti2 P3.6 O14.4,0.00123,-2.910094889,,,25,https://doi.org/10.1039/D2EE03499A
Li1.7 Ti1.3 Cr0.7 P3 O12,8.05E-06,-5.09420412,,,25,https://doi.org/10.1039/D2EE03499A
Li1.7 Ti1.6 Al0.3 P3 O12,5.00E-05,-4.301029996,,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Ti2 P3 N0.8 O14.4,0.00149,-2.826813732,,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Ti2 P3 S0.4 O13.6,0.00166,-2.779891912,,,25,https://doi.org/10.1039/D2EE03499A
Li1.9 Ti2 B0.9 P3 O14.7,0.000891,-3.050122296,,,25,https://doi.org/10.1039/D2EE03499A
Li1.9 Ti2 P3.9 O15.6,0.0011,-2.958607315,,,25,https://doi.org/10.1039/D2EE03499A
Li14 V2 Ge2 O16,7.00E-05,-4.15490196,,,26.85,https://doi.org/10.1039/C6EE02697D
Li14.8 Ge3.4 W0.6 O4,4.00E-05,-4.397940009,,,26.85,https://doi.org/10.1039/C6EE02697D
Li15 V2 Ge3 O4,6.03E-06,-5.219682688,,,26.85,https://doi.org/10.1039/C6EE02697D
Li2 Ge7 O15,5.00E-06,-5.301029996,,,26.85,"Energy Environ. Sci., 2017,10, 306-326"
Li2 La8 Si6 O25,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li2 Ti1 O3,3.52E-08,-7.453457337,,,186,10.1016/j.ssi.2006.11.002
Li2.5 Ti2 B1.5 P3 O16.5,0.000648,-3.188424994,,,25,https://doi.org/10.1039/D2EE03499A
Li2.7 Zn10 P0.9 S3.6 O10,0.00029,-3.537602002,,,25,https://doi.org/10.1039/D2EE03499A
Li2.8 Zn0.6 Ge1 O4,1.27E-07,-6.896196279,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Al0.2 V1.8 P3 O12,1.88E-06,-5.725842151,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Al0.4 V1.6 P3 O12,6.21E-06,-5.2069084,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Al0.6 V1.4 P3 O12,9.34E-07,-6.029653124,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Er3 Te2 O12,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Gd3 Te2 O12,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li3 La7 Si6 O24,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li3 Lu3 Te2 O12,1.00E-10,-10,,,25,https://doi.org/10.1039/D2EE03499A
Li3 V2 P3 O12,2.09E-07,-6.679853714,,,25,https://doi.org/10.1039/D2EE03499A
Li3.1 Si0.1 P0.9 O4,7.47E-08,-7.126679398,,,25,https://doi.org/10.1039/D2EE03499A
Li3.1 Zn0.45 Ge1 O4,9.89E-08,-7.004803708,,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 Si0.6 S0.4 O4,1.32E-06,-5.879426069,,,25,https://doi.org/10.1039/D2EE03499A
Li3.33 V0.67 Ge0.33 O4,6.94E-06,-5.15864053,,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 V0.5 Ge0.5 O4,3.00E-05,-4.522878745,,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Zn0.25 Ge1 O4,2.42E-07,-6.616184634,,,25,https://doi.org/10.1039/D2EE03499A
Li3.7 Zn0.15 Ge1 O4,4.63E-07,-6.334419009,,,25,https://doi.org/10.1039/D2EE03499A
Li3.9 Si0.9 P0.1 O4,1.99E-08,-7.701146924,,,25,https://doi.org/10.1039/D2EE03499A
Li1 Hf2 P12,3.42E-06,-5.465973894,,,25,https://doi.org/10.1039/D2EE03499A
Ba0.1 Li9.8 Ge1 P2 S12,0.000561,-3.251037139,,,25,https://doi.org/10.1039/D2EE03499A
Ba0.2 Li9.6 Ge1 P2 S12,0.000572,-3.242603971,,,25,https://doi.org/10.1039/D2EE03499A
Ba0.4 Li9.2 Ge1 P2 S12,0.000316,-3.500312917,,,25,https://doi.org/10.1039/D2EE03499A
Ba0.5 Li9 Ge1 P2 S12,9.98E-05,-4.000869459,,,25,https://doi.org/10.1039/D2EE03499A
Li0.6 Sb0.84 P0.56 S2.96,2.98E-08,-7.525783736,,,31,10.1007/s11581-006-0054-y
Li0.8 Ga0.12 Ge0.54 S1.66,2.87E-06,-5.542118103,,,21,10.1016/j.ssi.2007.10.011
Li0.8 Ga0.12 Ge0.54 S1.66,0.0119,-1.924453039,,,205,10.1016/j.ssi.2007.10.011
Li0.8 Sb0.72 P0.48 S2.68,1.60E-07,-6.795880017,,,25,10.1007/s11581-006-0054-y
Li1 Ga0.1 Ge0.45 S1.55,6.70E-05,-4.173925197,,,28,10.1016/j.ssi.2007.10.011
Li1 Ga0.1 Ge0.45 S1.55,0.0335,-1.474955193,,,215,10.1016/j.ssi.2007.10.011
Li1 Sb0.6 P0.4 S2.4,2.26E-07,-6.645891561,,,34,10.1007/s11581-006-0054-y
Li1.2734 Si0.3783 P0.03 S1.3483 O0.12,0.000583,-3.234331445,,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 P0.4 S1.8,0.00403,-2.394694954,,,105,10.1016/j.jpowsour.2006.04.037
Li1.6 P0.4 S1.8,0.00254,-2.595166283,,,40.25,10.1016/j.jpowsour.2006.04.037
Li1.6 P0.4 S1.8,0.00118,-2.928117993,,,68,10.1016/j.jpowsour.2006.04.037
Li1.6 P0.4 S1.8,0.00112,-2.950781977,,,25,10.1016/j.jpowsour.2006.04.037
Li1.75 P0.25 S1.5,0.00021,-3.677780705,,,25,10.1016/j.jpowsour.2006.04.037
Li140 P60 S220,0.017,-1.769551079,,,25,10.1039/C3EE41655K
Li10 Si0.05 Ge0.95 P2 S12,0.0086,-2.065501549,,,25,10.1016/j.jpowsour.2014.07.159
Li10.2 Ge1.2 P1.8 S12,0.0136,-1.866461092,,,25,https://doi.org/10.1039/D2EE03499A
Li10.2 Si1.2 P1.8 S12,0.00416,-2.380906669,,,25,https://doi.org/10.1039/D2EE03499A
Li10.275 Si1.275 P1.725 S12,0.00561,-2.251037139,,,25,https://doi.org/10.1039/D2EE03499A
Li10.425 Si1.425 P1.575 S12,0.00522,-2.282329497,,,25,https://doi.org/10.1039/D2EE03499A
